date,fingerprint,transport,users,num_instances,coverage
2022-08-23,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,16953.81,4.00,4.00
2022-08-24,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17260.88,4.00,4.00
2022-08-25,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17690.36,4.00,4.00
2022-08-26,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17307.31,4.00,4.00
2022-08-27,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17383.35,4.00,4.00
2022-08-28,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17461.35,4.00,4.00
2022-08-29,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17762.34,4.00,4.00
2022-08-30,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17249.53,4.00,4.00
2022-08-31,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17092.26,4.00,4.00
2022-09-01,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17322.93,4.00,4.00
2022-09-02,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17906.68,4.00,4.00
2022-09-03,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,18193.73,4.00,4.00
2022-09-04,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,18702.37,4.00,4.00
2022-09-05,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,18803.58,4.00,4.00
2022-09-06,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,18393.37,4.00,4.00
2022-09-07,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,18553.68,4.00,4.00
2022-09-08,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,18383.52,4.00,4.00
2022-09-09,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,19089.87,4.00,4.00
2022-09-10,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,18901.67,4.00,4.00
2022-09-11,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,19180.39,4.00,4.00
2022-09-12,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,19306.63,4.00,4.00
2022-09-13,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,19231.82,4.00,4.00
2022-09-14,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,18850.72,4.00,4.00
2022-09-15,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,18456.65,4.00,4.00
2022-09-16,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17874.13,4.00,4.00
2022-09-17,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17707.99,4.00,4.00
2022-09-18,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17606.11,4.00,4.00
2022-09-19,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17317.34,4.00,4.00
2022-09-20,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17404.18,4.00,4.00
2022-09-21,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,18828.65,4.00,4.00
2022-09-22,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,36024.12,4.63,4.00
2022-09-23,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,32063.92,8.00,3.31
2022-09-24,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,74691.94,8.34,8.38
2022-09-25,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,67733.88,12.00,9.17
2022-09-26,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,40888.82,12.00,4.86
2022-09-27,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,99998.58,12.00,12.00
2022-09-28,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,102747.37,12.00,12.00
2022-09-29,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,64596.13,12.00,7.14
2022-09-30,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,42010.43,12.00,7.19
2022-10-01,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,28051.55,12.00,4.81
2022-10-02,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,30700.41,12.00,3.49
2022-10-03,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,105122.69,12.00,12.00
2022-10-04,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,87218.93,12.00,12.00
2022-10-05,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,44871.27,12.00,12.00
2022-10-06,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,36036.07,12.00,10.58
2022-10-07,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,36838.93,12.00,12.00
2022-10-08,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,32908.58,12.00,12.00
2022-10-09,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,35592.19,12.00,12.00
2022-10-10,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,35656.22,12.00,12.00
2022-10-11,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,34638.68,12.00,12.00
2022-10-12,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,28366.59,12.00,12.00
2022-10-13,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,32041.12,12.00,12.00
2022-10-14,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,29656.86,12.00,12.00
2022-10-15,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,26531.74,12.00,12.00
2022-10-16,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,30619.65,12.00,12.00
2022-10-17,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,31288.60,12.00,12.00
2022-10-18,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,25074.19,12.00,9.93
2022-10-19,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,18346.62,12.00,8.23
2022-10-20,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,25063.38,12.00,11.31
2022-10-21,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,26363.12,12.00,11.69
2022-10-22,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,27322.64,12.00,12.00
2022-10-23,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,25364.78,12.00,11.31
2022-10-24,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,25707.97,12.00,11.69
2022-10-25,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,8238.61,12.00,3.77
2022-10-26,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,13924.97,12.00,7.08
2022-10-27,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,22059.62,12.00,11.42
2022-10-28,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,23412.98,12.00,12.00
2022-10-29,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,23276.35,12.00,12.00
2022-10-30,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,21882.64,12.00,11.29
2022-10-31,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,22988.64,12.00,11.71
2022-11-01,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,22129.07,12.00,11.29
2022-11-02,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,24063.77,12.00,11.00
2022-11-03,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,28450.43,12.00,11.71
2022-11-04,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,32439.26,12.00,12.00
2022-11-05,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,33889.49,12.00,12.00
2022-11-06,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,34765.30,12.00,12.00
2022-11-07,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,34159.64,12.00,11.29
2022-11-08,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,37640.91,12.00,11.71
2022-11-09,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,36728.59,12.00,11.29
2022-11-10,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,35716.02,12.00,11.00
2022-11-11,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,38513.86,12.00,11.71
2022-11-12,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,39373.50,12.00,12.00
2022-11-13,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,38937.13,12.00,12.00
2022-11-14,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,38855.90,12.00,12.00
2022-11-15,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,39474.22,12.00,12.00
2022-11-16,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,39877.92,12.00,12.00
2022-11-17,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,40558.35,12.00,12.00
